Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
25.0,BUENOS AIRES_COLON,"Colon, Buenos Aires",FRENTE PARA LA VICTORIA,46.34,53.66,7698,8914,83.24,20338,16930,1.26,0.03,0.58,214,5,99,BUENOS AIRES
26.0,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",CAMBIEMOS,62.27,37.73,6767,4101,81.87,13521,11069,0.92,0.0,0.89,102,0,99,BUENOS AIRES
27.0,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",CAMBIEMOS,58.21,41.79,8988,6452,79.05,19951,15771,1.46,0.01,0.62,231,2,98,BUENOS AIRES
28.0,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",CAMBIEMOS,72.01,27.99,26658,10362,78.79,47843,37697,0.87,0.06,0.86,329,23,325,BUENOS AIRES
29.0,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",CAMBIEMOS,59.89,40.11,15627,10468,81.5,32897,26811,1.04,0.04,1.58,280,12,424,BUENOS AIRES
30.0,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",CAMBIEMOS,51.04,48.96,5746,5512,80.8,14143,11428,0.76,0.0,0.73,87,0,83,BUENOS AIRES
31.0,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",CAMBIEMOS,64.14,35.86,11659,6518,80.27,23244,18659,1.51,0.01,1.07,281,1,200,BUENOS AIRES
32.0,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",FRENTE PARA LA VICTORIA,44.19,55.81,17977,22700,82.58,50655,41831,1.67,0.07,1.01,700,31,423,BUENOS AIRES
33.0,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",FRENTE PARA LA VICTORIA,47.71,52.29,62421,68412,82.88,161612,133942,1.35,0.07,0.9,1813,95,1201,BUENOS AIRES
34.0,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE PARA LA VICTORIA,42.5,57.5,72495,98094,84.52,206851,174826,1.21,0.06,1.15,2121,108,2008,BUENOS AIRES
35.0,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",CAMBIEMOS,54.72,45.28,10809,8944,83.19,24269,20189,0.94,0.08,1.13,190,17,229,BUENOS AIRES
36.0,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE PARA LA VICTORIA,40.54,59.46,38571,56577,85.16,114177,97231,1.16,0.04,0.94,1131,42,910,BUENOS AIRES
37.0,BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",CAMBIEMOS,58.61,41.39,3703,2615,84.91,7521,6386,0.56,0.0,0.5,36,0,32,BUENOS AIRES
38.0,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE PARA LA VICTORIA,30.98,69.02,71740,159816,83.31,283696,236349,1.26,0.04,0.73,2978,87,1728,BUENOS AIRES
39.0,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",CAMBIEMOS,57.97,42.03,14976,10859,79.26,33397,26472,1.33,0.04,1.04,351,11,275,BUENOS AIRES
40.0,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",CAMBIEMOS,62.26,37.74,4103,2487,81.15,8244,6690,1.39,0.0,0.1,93,0,7,BUENOS AIRES
41.0,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",CAMBIEMOS,62.91,37.09,7344,4330,83.49,14165,11826,0.99,0.01,0.29,117,1,34,BUENOS AIRES
