id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",JUNTOS POR EL CAMBIO,1.21,0.0,0.14,1.28,44.91,21.77,0.19,0.14,0.16,0.47,0.12,0.62,0.05,0.0,28.93,135.0,0.0,16.0,143.0,5012.0,2429.0,21.0,16.0,18.0,53.0,13.0,69.0,6.0,0.0,3229.0,73.06,16766,12250,8.54,0.16,0.2,1046,20,BUENOS AIRES
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",JUNTOS POR EL CAMBIO,0.68,0.06,0.06,2.65,48.31,13.06,0.11,0.17,0.0,0.17,0.0,0.23,0.0,0.0,34.52,12.0,1.0,1.0,47.0,858.0,232.0,2.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,613.0,70.33,2895,2036,10.56,1.92,0.29,215,39,BUENOS AIRES
BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Juan Madariaga, Buenos Aires",JUNTOS POR EL CAMBIO,2.55,0.0,0.14,1.53,37.3,29.94,0.27,0.16,0.28,1.04,0.12,0.42,0.06,0.0,26.18,265.0,0.0,15.0,159.0,3873.0,3108.0,28.0,17.0,29.0,108.0,12.0,44.0,6.0,0.0,2718.0,64.8,19383,12561,16.27,0.92,0.15,2044,116,BUENOS AIRES
BUENOS AIRES_GENERAL LA MADRID,"General La Madrid, Buenos Aires",JUNTOS POR EL CAMBIO,0.79,0.04,0.04,0.54,43.77,24.19,0.09,0.33,0.26,0.05,0.09,0.39,0.0,0.02,29.41,45.0,2.0,2.0,31.0,2499.0,1381.0,5.0,19.0,15.0,3.0,5.0,22.0,0.0,1.0,1679.0,67.21,9803,6589,11.11,0.56,1.68,732,37,BUENOS AIRES
BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",JUNTOS POR EL CAMBIO,2.19,0.18,0.08,1.13,37.48,25.08,0.08,0.15,0.25,0.09,0.17,0.8,0.32,0.07,31.93,208.0,17.0,8.0,108.0,3568.0,2387.0,8.0,14.0,24.0,9.0,16.0,76.0,30.0,7.0,3039.0,72.17,14192,10242,6.25,0.03,0.78,640,3,BUENOS AIRES
BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",JUNTOS POR EL CAMBIO,0.66,0.0,0.13,0.47,47.09,22.02,0.13,0.13,0.22,0.16,0.09,0.22,0.03,0.0,28.66,21.0,0.0,4.0,15.0,1495.0,699.0,4.0,4.0,7.0,5.0,3.0,7.0,1.0,0.0,910.0,66.49,5157,3429,6.45,0.17,0.79,221,6,BUENOS AIRES
BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",UNION POR LA PATRIA,0.93,0.0,0.09,0.62,35.05,24.79,0.09,0.21,0.21,0.63,0.07,0.41,0.09,0.0,36.82,75.0,0.0,7.0,50.0,2825.0,1998.0,7.0,17.0,17.0,51.0,6.0,33.0,7.0,0.0,2968.0,74.84,11652,8720,7.17,0.0,0.39,625,0,BUENOS AIRES
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",JUNTOS POR EL CAMBIO,1.39,0.01,0.56,0.83,43.2,22.42,0.19,0.19,0.32,0.21,0.12,0.25,0.09,0.01,30.21,95.0,1.0,38.0,57.0,2950.0,1531.0,13.0,13.0,22.0,14.0,8.0,17.0,6.0,1.0,2063.0,72.89,10221,7450,7.73,0.01,0.59,576,1,BUENOS AIRES
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",JUNTOS POR EL CAMBIO,3.28,0.06,0.18,1.13,36.32,28.32,0.42,0.21,0.42,0.75,0.21,0.82,0.02,0.01,27.85,11214.0,199.0,620.0,3847.0,124171.0,96843.0,1447.0,721.0,1440.0,2562.0,722.0,2801.0,56.0,43.0,95230.0,64.92,569437,369656,5.93,0.14,1.43,21927,517,BUENOS AIRES
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",UNION POR LA PATRIA,2.79,0.4,0.25,0.41,27.83,28.4,0.38,0.14,0.34,0.5,0.21,0.78,0.37,0.19,37.02,1475.0,213.0,130.0,215.0,14709.0,15007.0,199.0,74.0,181.0,262.0,111.0,413.0,193.0,99.0,19563.0,62.82,92431,58064,8.19,0.16,0.64,4755,95,BUENOS AIRES
