id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",ALIANZA CAMBIEMOS,42.43,0.98,2.65,39.34,1.23,13.38,6913,160,431,6409,200,2180,85.76,19532,16750,2.32,0.04,0.38,388,6,63,BUENOS AIRES
BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",ALIANZA CAMBIEMOS,51.84,1.47,1.22,26.6,1.72,17.14,2886,82,68,1481,96,954,81.4,7082,5765,3.24,0.0,0.19,187,0,11,BUENOS AIRES
BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),28.67,0.99,3.33,29.91,2.45,34.66,28056,968,3256,29272,2398,33920,78.53,127642,100237,1.9,0.07,0.4,1900,66,401,BUENOS AIRES
BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",ALIANZA CAMBIEMOS,54.46,0.56,3.15,20.98,3.65,17.21,114566,1177,6618,44130,7673,36196,77.16,278076,214577,1.26,0.12,0.58,2712,257,1248,BUENOS AIRES
BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,29.88,0.84,3.84,37.32,2.61,25.51,51100,1431,6563,63822,4469,43636,79.87,220234,175905,2.07,0.11,0.6,3634,186,1064,BUENOS AIRES
BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.95,1.31,3.25,35.94,2.77,25.78,29834,1260,3132,34645,2671,24849,82.91,119736,99278,2.32,0.04,0.55,2300,44,543,BUENOS AIRES
BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",ALIANZA CAMBIEMOS,43.63,2.21,2.86,27.95,2.7,20.65,15857,804,1040,10158,980,7507,81.77,46254,37822,3.27,0.04,0.58,1238,17,221,BUENOS AIRES
BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.21,1.01,2.96,36.48,1.75,26.59,11751,382,1116,13734,659,10011,80.74,48591,39234,3.29,0.12,0.63,1289,46,246,BUENOS AIRES
BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",ALIANZA CAMBIEMOS,42.27,0.9,1.63,39.43,1.46,14.31,3209,68,124,2993,111,1086,86.12,9053,7796,2.36,0.03,0.24,184,2,19,BUENOS AIRES
BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",ALIANZA CAMBIEMOS,41.41,1.06,3.23,31.18,3.65,19.47,32499,835,2532,24469,2867,15281,80.4,100885,81114,2.42,0.05,0.77,1964,41,626,BUENOS AIRES
BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.72,0.78,1.02,38.98,1.92,18.58,2538,51,67,2555,126,1218,83.72,8108,6788,3.21,0.04,0.18,218,3,12,BUENOS AIRES
BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.06,0.85,4.34,28.47,2.58,37.7,59093,1937,9845,64566,5849,85485,80.44,288933,232418,1.64,0.14,0.65,3808,324,1511,BUENOS AIRES
BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.92,0.2,0.41,37.77,0.27,32.43,428,3,6,559,4,480,87.95,1734,1525,2.16,0.33,0.46,33,5,7,BUENOS AIRES
BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",ALIANZA CAMBIEMOS,47.61,1.09,3.04,29.61,2.05,16.6,4278,98,273,2661,184,1492,80.95,11422,9246,2.01,0.05,0.75,186,5,69,BUENOS AIRES
BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",ALIANZA CAMBIEMOS,42.1,1.52,1.69,27.95,3.18,23.56,11888,428,477,7893,898,6654,79.97,37007,29594,4.22,0.01,0.36,1248,2,106,BUENOS AIRES
BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",ALIANZA CAMBIEMOS,36.01,1.14,3.08,32.44,2.98,24.35,13451,425,1152,12119,1115,9096,78.1,50103,39131,3.95,0.04,0.54,1544,16,213,BUENOS AIRES
BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",ALIANZA CAMBIEMOS,35.2,0.98,4.17,32.91,3.26,23.48,76727,2146,9083,71724,7115,51172,77.09,289269,222989,1.63,0.07,0.55,3640,152,1230,BUENOS AIRES
BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.27,1.0,1.5,43.38,1.1,14.76,2022,53,79,2292,58,780,86.45,6405,5537,4.3,0.13,0.14,238,7,8,BUENOS AIRES
BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",ALIANZA CAMBIEMOS,40.6,0.81,1.84,29.27,1.56,25.92,9424,188,428,6795,362,6017,82.58,29447,24317,4.09,0.05,0.39,994,13,96,BUENOS AIRES
BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",ALIANZA CAMBIEMOS,54.17,0.53,3.7,20.12,5.31,16.17,98080,964,6707,36425,9618,29281,76.14,241980,184237,1.14,0.07,0.51,2100,131,931,BUENOS AIRES
BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.63,0.96,3.19,37.24,2.76,20.21,7055,191,632,7372,546,4002,72.36,28350,20514,2.76,0.3,0.43,566,61,89,BUENOS AIRES
BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",ALIANZA CAMBIEMOS,40.85,1.13,1.49,26.6,1.88,28.05,7292,202,266,4748,336,5008,75.03,25256,18950,4.13,0.89,0.77,783,169,146,BUENOS AIRES
BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.29,0.92,2.89,41.93,2.31,24.66,19341,654,2049,29721,1638,17478,82.13,89330,73366,2.86,0.01,0.51,2097,11,377,BUENOS AIRES
