,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
516,TUCUMAN_GRANEROS,"Graneros, Tucuman",FRENTE DE TODOS,1.97,0.37,80.01,1.42,15.87,0.36,189,36,7686,136,1524,35,82.61,11758,9713,0.49,0.15,0.45,48,15,44
517,TUCUMAN_LA COCHA,"La Cocha, Tucuman",FRENTE DE TODOS,2.49,0.5,71.94,0.84,23.8,0.42,336,68,9716,114,3214,57,84.66,16156,13677,0.51,0.13,0.61,70,18,84
518,TUCUMAN_LEALES,"Leales, Tucuman",FRENTE DE TODOS,3.3,0.77,72.72,1.39,21.34,0.48,1328,309,29227,559,8576,191,84.6,48192,40772,0.58,0.13,0.72,235,53,294
519,TUCUMAN_LULES,"Lules, Tucuman",FRENTE DE TODOS,4.28,1.03,59.96,2.1,31.81,0.81,1867,450,26183,919,13892,354,85.3,52157,44488,0.62,0.11,1.12,275,49,499
520,TUCUMAN_MONTEROS,"Monteros, Tucuman",FRENTE DE TODOS,3.58,0.79,72.6,1.47,20.85,0.7,1650,365,33447,679,9606,322,85.34,54624,46617,0.54,0.14,0.5,254,63,231
521,TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",FRENTE DE TODOS,3.29,0.8,72.36,1.61,21.21,0.74,1340,324,29465,655,8636,300,84.42,48810,41207,0.59,0.12,0.47,242,51,194
522,TUCUMAN_SIMOCA,"Simoca, Tucuman",FRENTE DE TODOS,2.62,0.52,76.6,0.83,19.05,0.4,599,119,17538,189,4361,91,83.49,27719,23142,0.41,0.24,0.41,94,55,96
523,TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",FRENTE DE TODOS,3.24,1.12,76.96,1.27,16.74,0.67,372,129,8845,146,1924,77,83.39,14007,11680,0.58,0.09,0.92,68,11,108
524,TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",FRENTE DE TODOS,5.1,1.53,54.93,2.66,34.63,1.14,4780,1433,51468,2496,32446,1067,84.29,113521,95692,0.78,0.11,1.19,750,110,1142
525,TUCUMAN_TRANCAS,"Trancas, Tucuman",FRENTE DE TODOS,4.1,1.06,64.28,1.65,28.27,0.65,491,127,7707,198,3389,78,82.09,14906,12237,0.58,0.23,1.21,71,28,148
526,TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",JUNTOS POR EL CAMBIO,3.95,1.27,41.79,1.71,50.23,1.04,2417,777,25550,1047,30712,636,85.94,72243,62087,0.54,0.07,0.92,335,43,570
